Date,Open,High,Low,Close,Adj Close,Volume
2004-08-19,2.250714,2.275714,2.168571,30.709999,1.981210,97230000
2004-08-20,2.193571,2.213571,2.177857,30.800001,1.987016,79195200
2004-08-23,2.204286,2.233572,2.185714,31.080000,2.005080,63665000
2004-08-24,2.232857,2.282143,2.227857,31.950001,2.061206,93534000
2004-08-25,2.276428,2.367857,2.266428,33.049999,2.132171,126404600
2004-08-26,2.360000,2.512857,2.338571,34.660000,2.236037,238964600
2004-08-27,2.477143,2.482857,2.428571,34.349998,2.216039,97203400
2004-08-30,2.428571,2.480000,2.425714,34.119999,2.201200,54535600
2004-08-31,2.433571,2.496428,2.428571,34.489998,2.225070,94140200
2004-09-01,2.450000,2.570714,2.442143,35.860001,2.313454,128931600
2004-09-02,2.535714,2.557857,2.487857,35.660000,2.300551,101581200
2004-09-03,2.500714,2.565714,2.500714,35.230000,2.272810,73367000
2004-09-07,2.528571,2.585000,2.516428,35.760002,2.307003,75489400
2004-09-08,2.550000,2.612143,2.548571,36.350002,2.345066,85881600
2004-09-09,2.578571,2.592857,2.520000,35.700001,2.303131,115334800
2004-09-10,2.547143,2.587857,2.532857,35.869999,2.314099,82003600
2004-09-13,2.562857,2.576429,2.522857,35.590000,2.296036,70494200
2004-09-14,2.517143,2.539286,2.484286,35.490002,2.289584,63705600
2004-09-15,2.525714,2.534286,2.485714,35.200001,2.270875,58167200
2004-09-16,2.514286,2.625714,2.505714,36.350002,2.345066,125479200
2004-09-17,2.610714,2.670000,2.600000,37.139999,2.396031,125577200
2004-09-20,2.634286,2.712857,2.633571,37.709999,2.432804,61250000
2004-09-21,2.696429,2.776428,2.675714,38.009998,2.452157,96663000
2004-09-22,2.721429,2.724286,2.629286,36.920002,2.381838,100422000
2004-09-23,2.645714,2.678571,2.637857,37.269997,2.404418,99351000
2004-09-24,2.675000,2.714286,2.653571,37.290001,2.405708,92372000
2004-09-27,2.639286,2.712857,2.630714,37.530003,2.421192,99379000
2004-09-28,2.675714,2.735000,2.675000,38.040001,2.454093,88296600
2004-09-29,2.709286,2.775714,2.701429,38.680000,2.495382,68377400
2004-09-30,2.785714,2.805000,2.746428,38.750000,2.499898,106253000
2004-10-01,2.794286,2.799286,2.755714,38.670002,2.494737,116351200
2004-10-04,2.798571,2.798571,2.767857,38.790001,2.502478,143521000
2004-10-05,2.754286,2.833571,2.742857,39.369999,2.539897,101540600
2004-10-06,2.821429,2.911429,2.819286,40.639999,2.621829,111575800
2004-10-07,2.895714,2.923571,2.818571,39.619999,2.556025,106537200
2004-10-08,2.825714,2.840714,2.774286,39.059998,2.519897,89807200
2004-10-11,2.771429,2.790000,2.728571,38.590000,2.489576,80967600
2004-10-12,2.750000,2.755714,2.689286,38.289997,2.470222,115047800
2004-10-13,2.776428,2.840000,2.767143,39.750000,2.564411,290752000
2004-10-14,3.085000,3.267857,3.039286,44.980003,2.901817,692106800
2004-10-15,3.205714,3.257857,3.156429,45.500000,2.935364,257782000
2004-10-18,3.192857,3.410714,3.192857,47.750000,3.080520,300188000
2004-10-19,3.435714,3.453571,3.379286,47.420002,3.059230,200498200
2004-10-20,3.370000,3.400000,3.332143,47.469997,3.062455,151277000
2004-10-21,3.391428,3.437857,3.382857,47.939999,3.092777,181126400
2004-10-22,3.395714,3.405000,3.358572,47.410000,3.058585,120766800
2004-10-25,3.371428,3.417143,3.362143,47.549999,3.067617,98161000
2004-10-26,3.389286,3.432143,3.355000,47.970001,3.094712,148590400
2004-10-27,3.465000,3.615714,3.440714,50.299999,3.245028,298373600
2004-10-28,3.570000,3.730000,3.535714,52.189999,3.366960,216066200
2004-10-29,3.702857,3.800000,3.700000,52.400002,3.380507,202554800
